Goal,Meal Type,Name,Calories,ProteinContent,CarbohydrateContent,FatContent,Ingredients,Cuisine
Muscle Gain,Breakfast,Foul Medames with Olive Oil and Whole Wheat Bread,430,18,48,16,"fava beans, olive oil, lemon, garlic, whole wheat bread",Middle Eastern
Fat Loss,Breakfast,Greek Yogurt with Dates and Walnuts,320,20,28,12,"greek yogurt, dates, walnuts",Middle Eastern
Maintenance,Breakfast,Shakshuka with Whole Wheat Bread,410,22,30,18,"eggs, tomatoes, peppers, onions, olive oil, whole wheat bread",Levantine
Muscle Gain,Breakfast,Labneh with Za'atar and Olive Oil,390,17,24,22,"labneh, zaatar, olive oil, bread",Levantine
Endurance,Breakfast,Oatmeal with Tahini and Banana,450,16,60,14,"oats, tahini, banana, milk",Middle Eastern
Fat Loss,Breakfast,Egg Omelette with Parsley and Tomatoes,290,24,10,16,"eggs, parsley, tomatoes, olive oil",Middle Eastern
Muscle Gain,Breakfast,Hummus with Boiled Eggs and Pita,470,24,38,20,"hummus, eggs, pita bread",Levantine
Maintenance,Breakfast,Cheese Manakish with Cucumbers,420,18,42,18,"flatbread, akkawi cheese, cucumbers",Levantine
Muscle Gain,Breakfast,Falafel Sandwich Baked Style,480,19,50,18,"falafel, pita, tahini, vegetables",Levantine
Fat Loss,Breakfast,Cottage Cheese with Cucumber and Mint,260,23,8,12,"cottage cheese, cucumber, mint",Middle Eastern
Maintenance,Breakfast,Boiled Eggs with Labneh and Olives,340,22,10,22,"eggs, labneh, olives",Middle Eastern
Endurance,Breakfast,Date and Peanut Butter Oats,460,18,62,15,"oats, dates, peanut butter, milk",Fusion
Muscle Gain,Breakfast,Chicken Shawarma Breakfast Wrap,510,32,40,20,"chicken shawarma, wrap, garlic sauce, vegetables",Middle Eastern
Fat Loss,Breakfast,Yogurt with Oats and Honey,310,17,36,10,"yogurt, oats, honey",Middle Eastern
Maintenance,Breakfast,Spinach Fatayer with Yogurt,390,14,45,16,"spinach pies, yogurt",Levantine
Muscle Gain,Breakfast,Turkish Eggs with Bread,450,25,28,24,"eggs, yogurt, chili butter, bread",Turkish
Fat Loss,Breakfast,Feta Salad with Boiled Eggs,300,22,9,18,"feta cheese, eggs, cucumber, tomato, olive oil",Mediterranean
Maintenance,Breakfast,Ka'ak with Cheese and Tea,380,14,42,16,"kaak bread, white cheese",Levantine
Endurance,Breakfast,Banana Date Smoothie with Oats,430,15,65,10,"banana, dates, oats, milk",Middle Eastern
Muscle Gain,Breakfast,Scrambled Eggs with Potatoes and Bread,520,24,48,24,"eggs, potatoes, bread, olive oil",Middle Eastern
Muscle Gain,Lunch,Chicken Kabsa,720,45,78,24,"chicken, basmati rice, spices, onions, tomato",Gulf
Fat Loss,Lunch,Grilled Chicken with Tabbouleh,510,42,28,18,"grilled chicken, parsley, bulgur, tomato, olive oil",Levantine
Maintenance,Lunch,Lentil Soup with Salad and Bread,480,22,52,14,"lentils, carrots, onions, bread, salad",Middle Eastern
Muscle Gain,Lunch,Beef Kofta with Rice,690,40,62,28,"beef kofta, rice, parsley, onions",Middle Eastern
Endurance,Lunch,Chicken Shawarma Rice Bowl,650,38,72,18,"chicken shawarma, rice, vegetables, yogurt sauce",Levantine
Fat Loss,Lunch,Grilled Fish with Sayadiya Rice,540,39,45,16,"white fish, rice, onions, spices",Levantine
Maintenance,Lunch,Mujaddara with Cucumber Yogurt,520,20,64,14,"lentils, rice, onions, yogurt, cucumber",Levantine
Muscle Gain,Lunch,Mansaf with Chicken,760,44,70,28,"rice, chicken, jameed yogurt sauce, almonds",Jordanian
Fat Loss,Lunch,Stuffed Zucchini with Lean Beef,500,34,30,20,"zucchini, lean beef, rice, tomato sauce",Levantine
Maintenance,Lunch,Molokhia with Rice and Chicken,620,38,55,22,"molokhia leaves, chicken, rice, garlic",Egyptian
Muscle Gain,Lunch,Maqluba with Chicken,740,42,76,24,"rice, chicken, eggplant, cauliflower",Levantine
Endurance,Lunch,Freekeh with Grilled Chicken,640,41,68,18,"freekeh, chicken, spices",Levantine
Fat Loss,Lunch,Grilled Kofta with Hummus and Salad,530,37,24,22,"kofta, hummus, salad",Middle Eastern
Maintenance,Lunch,Chicken Musakhan Roll,610,36,50,24,"chicken, sumac, onions, taboon bread",Palestinian
Muscle Gain,Lunch,Beef Shawarma Plate with Rice,730,43,66,28,"beef shawarma, rice, tahini, vegetables",Levantine
Fat Loss,Lunch,Baked Kibbeh with Yogurt,520,30,34,22,"bulgur, lean beef, onions, yogurt",Levantine
Maintenance,Lunch,Stuffed Bell Peppers with Rice and Meat,590,31,58,18,"bell peppers, rice, minced meat, tomato sauce",Middle Eastern
Muscle Gain,Lunch,Grilled Lamb Chops with Rice,780,46,52,36,"lamb chops, rice, spices",Middle Eastern
Endurance,Lunch,Chicken Biryani Arabic Style,710,42,80,20,"chicken, rice, spices, yogurt",South Asian / Gulf
Fat Loss,Lunch,Shrimp with Bulgur and Vegetables,500,36,42,14,"shrimp, bulgur, vegetables, olive oil",Mediterranean
Maintenance,Lunch,Falafel Plate with Salad and Tahini,560,18,48,28,"falafel, salad, tahini, pita",Levantine
Muscle Gain,Lunch,Chicken Mandi,750,45,82,22,"chicken, rice, mandi spices",Yemeni
Fat Loss,Lunch,Turkey Kofta with Roasted Vegetables,480,39,18,20,"turkey mince, zucchini, peppers, spices",Fusion Middle Eastern
Maintenance,Lunch,Spinach Stew with Rice,540,20,58,16,"spinach, beef cubes, rice, garlic",Levantine
Muscle Gain,Lunch,Shish Tawook with Rice and Garlic Sauce,700,48,64,24,"chicken breast, rice, garlic sauce",Levantine
Endurance,Lunch,Chicken Fatteh with Yogurt,660,35,68,22,"chicken, bread, rice, yogurt, chickpeas",Levantine
Fat Loss,Lunch,Okra Stew with Lean Beef,510,33,26,22,"okra, lean beef, tomato sauce, rice",Middle Eastern
Maintenance,Lunch,Rice with Peas and Carrots with Chicken,610,36,66,18,"rice, peas, carrots, chicken",Middle Eastern
Muscle Gain,Lunch,Beef Arayes with Yogurt Dip,720,38,54,32,"minced beef, pita bread, yogurt",Levantine
Fat Loss,Lunch,Grilled Chicken with Freekeh Salad,500,40,30,16,"chicken, freekeh, parsley, lemon",Levantine
Maintenance,Lunch,White Beans Stew with Rice,560,24,62,14,"white beans, tomato sauce, rice",Middle Eastern
Muscle Gain,Lunch,Kafta Bil Siniya with Potatoes,740,42,48,34,"beef kafta, potatoes, tahini",Levantine
Endurance,Lunch,Rice and Chicken Liver Arabic Style,630,34,60,20,"chicken liver, rice, onions, spices",Middle Eastern
Fat Loss,Lunch,Stuffed Eggplant with Lean Meat,490,31,24,20,"eggplant, lean meat, tomato sauce",Levantine
Maintenance,Lunch,Chicken and Lentil Soup Bowl,460,30,38,12,"chicken, lentils, carrots, celery",Middle Eastern
Muscle Gain,Lunch,Lamb Ouzi with Rice and Nuts,810,44,74,34,"lamb, rice, nuts, spices",Gulf
Fat Loss,Lunch,Grilled Sea Bream with Salad,470,38,12,20,"sea bream, olive oil, greens",Mediterranean
Maintenance,Lunch,Chickpea Stew with Rice,540,21,64,14,"chickpeas, rice, tomato sauce, onions",Middle Eastern
Muscle Gain,Lunch,Chicken and Potato Tray Bake,690,40,58,26,"chicken, potatoes, onions, olive oil",Middle Eastern
Endurance,Lunch,Beef Rice Pilaf Arabic Style,700,39,72,22,"beef, rice, spices, peas",Middle Eastern
Maintenance,Dinner,Shorbat Adas with Toast,380,18,42,8,"lentil soup, toast",Middle Eastern
Fat Loss,Dinner,Grilled Chicken Salad with Tahini Lemon Dressing,430,38,16,18,"chicken, lettuce, cucumber, tahini, lemon",Middle Eastern
Muscle Gain,Dinner,Tuna Pita Sandwich with Yogurt Sauce,520,34,42,18,"tuna, pita, yogurt sauce, vegetables",Mediterranean
Endurance,Dinner,Chicken and Rice Soup,450,28,46,10,"chicken, rice, carrots, celery",Middle Eastern
Maintenance,Dinner,Labneh Plate with Olives and Vegetables,360,18,18,22,"labneh, olives, cucumbers, tomatoes",Levantine
Fat Loss,Dinner,Grilled Halloumi and Tomato Plate,390,24,10,24,"halloumi, tomato, cucumber, olive oil",Levantine
Muscle Gain,Dinner,Chicken Quesadilla Arabic Twist,560,36,44,24,"chicken, flatbread, cheese, spices",Fusion
Endurance,Dinner,Hummus Bowl with Chicken Strips,510,32,36,22,"hummus, chicken strips, olive oil, pita",Levantine
Maintenance,Dinner,Cheese Omelette with Salad,340,24,8,20,"eggs, cheese, salad",Middle Eastern
Fat Loss,Dinner,Zucchini Soup with Yogurt,300,14,18,14,"zucchini, yogurt, garlic, olive oil",Middle Eastern
Muscle Gain,Dinner,Minced Beef with Potatoes and Bread,620,35,48,28,"minced beef, potatoes, bread",Middle Eastern
Endurance,Dinner,Fatteh Yogurt Bowl with Chickpeas,500,20,58,16,"bread, yogurt, chickpeas, pine nuts",Levantine
Maintenance,Dinner,Spinach and Cheese Pastry with Yogurt,430,16,38,22,"pastry, spinach, cheese, yogurt",Levantine
Fat Loss,Dinner,Grilled Fish Fillet with Steamed Veggies,410,35,14,16,"fish fillet, vegetables, olive oil",Mediterranean
Muscle Gain,Dinner,Chicken Pasta Arabic Spices,650,40,66,18,"chicken, pasta, tomato sauce, spices",Fusion
Endurance,Dinner,Turkey Sandwich on Arabic Bread,470,30,42,14,"turkey, arabic bread, lettuce, yogurt sauce",Fusion
Maintenance,Dinner,Ful with Yogurt and Vegetables,390,18,34,14,"fava beans, yogurt, vegetables",Middle Eastern
